Nº de producto;Estado;Disponible para la venta;Disponible para la compra;Disponible para integrar otros productos;Compuesto por otros productos;Rubro;Nombre;Código;Código universal de producto (UPC);Código de proveedor;Stock actual;Stock ideal;Stock mínimo;Unidad;Alicuota de IVA;Proveedor;Moneda costo;Costo ($);Utilidad (%);Precio ($);Precio Final ($);Controla stock;Stock negativo;Mostrar en tienda;Nº de publicación en MercadoLibre;Nº de publicación adicional en MercadoLibre;Descripción;Descripción para la tienda;Observaciones Internas;
2;Habilitado;SI;SI;NO;NO;Sin especificar;productos prueba;'pp;'';'';9,000;0,000;0,000;unidad;21%;Sin especificar;Pesos;5,60;50,00;8,40;10,16;SI;SI;NO;0;0;
47;Habilitado;SI;SI;NO;NO;Lonas;LONA MESH C/LINER ULTRAFLEX 3.20x50mts HILADO 1000X1000 ;'MESHULT;'';'';0,000;0,000;0,000;unidad;21%;Geo Digital;Pesos;464072,73;23,00;570809,46;690679,45;SI;SI;NO;0;0;;;<p>actualización 9/6/21 use 2.15 + Iva m2 costo<br></p>;
48;Habilitado;SI;SI;NO;NO;01 Vinilo de Impresion Oracal 3640/3641 80mic;3640 ORAJET TRANSPARENTE BRILLANTE 105CM 50MTS;'364000105;'';''364000105;0,000;0,000;0,000;unidad;21%;Helioday;Pesos;237483,72;29,15;306710,22;371119,37;SI;SI;NO;0;0;
49;Habilitado;SI;SI;NO;NO;01 Vinilo de Impresion Oracal 3640/3641 80mic;3640 ORAJET TRANSPARENTE BRILLANTE 137CM 50MTS;'364000137;'';''364000137;0,000;0,000;0,000;unidad;21%;Helioday;Pesos;309859,74;29,15;400183,85;484222,46;SI;SI;NO;0;0;
50;Habilitado;SI;SI;NO;NO;01 Vinilo de Impresion Oracal 3640/3641 80mic;3640 ORAJET TRANSPARENTE BRILLANTE 152CM 50MTS;'36400152;'';''36400152;0,000;0,000;0,000;unidad;21%;Helioday;Pesos;343785,97;29,15;443999,58;537239,49;SI;SI;NO;0;0;
51;Habilitado;SI;SI;NO;NO;01 Vinilo de Impresion Oracal 3640/3641 80mic;3640 ORAJET IMPRESION BRILLANTE BASE BLANCA 105CM 50MTS;'364010105;'';''364010105;0,000;0,000;0,000;unidad;21%;Helioday;Pesos;237483,72;29,15;306710,22;371119,37;SI;SI;NO;0;0;
52;Habilitado;SI;SI;NO;NO;01 Vinilo de Impresion Oracal 3640/3641 80mic;3640 ORAJET IMPRESION BRILLANTE BASE BLANCA 137CM 50MTS;'364010137;'';''364010137;0,000;0,000;0,000;unidad;21%;Helioday;Pesos;309859,74;29,15;400183,85;484222,46;SI;SI;NO;0;0;
53;Habilitado;SI;SI;NO;NO;01 Vinilo de Impresion Oracal 3640/3641 80mic;3640 ORAJET IMPRESION BRILLANTE BASE BLANCA 152CM 50MTS;'364010152;'';''364010152;0,000;0,000;0,000;unidad;21%;Helioday;Pesos;343785,97;29,15;443999,58;537239,49;SI;SI;NO;0;0;
54;Habilitado;SI;SI;NO;NO;01 Vinilo de Impresion Oracal 3640/3641 80mic;3641 ORAJET IMPRESION BRILLANTE BASE GRIS 105CM 50MTS;'364110105;'';''364110105;0,000;0,000;0,000;unidad;21%;Helioday;Pesos;237483,72;29,15;306710,22;371119,37;SI;SI;NO;0;0;
55;Habilitado;SI;SI;NO;NO;01 Vinilo de Impresion Oracal 3640/3641 80mic;3641 ORAJET IMPRESION MATTE BASE GRIS 105CM 50MTS;'364110105M;'';''364110105M;0,000;0,000;0,000;unidad;21%;Helioday;Pesos;237483,72;29,15;306710,22;371119,37;SI;SI;NO;0;0;
56;Habilitado;SI;SI;NO;NO;01 Vinilo de Impresion Oracal 3640/3641 80mic;3641 ORAJET IMPRESION BRILLANTE BASE GRIS 126CM 50MTS;'364110126;'';''364110126;0,000;0,000;0,000;unidad;21%;Helioday;Pesos;284980,46;29,15;368052,26;445343,23;SI;SI;NO;0;0;
57;Habilitado;SI;SI;NO;NO;01 Vinilo de Impresion Oracal 3640/3641 80mic;3641 ORAJET IMPRESION BRILLANTE BASE GRIS 137CM 50MTS;'364110137;'';''364110137;0,000;0,000;0,000;unidad;21%;Helioday;Pesos;309859,74;29,15;400183,85;484222,46;SI;SI;NO;0;0;
58;Habilitado;SI;SI;NO;NO;01 Vinilo de Impresion Oracal 3640/3641 80mic;3641 ORAJET IMPRESION MATTE BASE GRIS 137CM 50MTS;'364110137M;'';''364110137M;0,000;0,000;0,000;unidad;21%;Helioday;Pesos;309859,74;29,15;400183,85;484222,46;SI;SI;NO;0;0;
59;Habilitado;SI;SI;NO;NO;01 Vinilo de Impresion Oracal 3640/3641 80mic;3641 ORAJET IMPRESION BRILLANTE BASE GRIS 152CM 50MTS;'364110152;'';''364110152;0,000;0,000;0,000;unidad;21%;Helioday;Pesos;343785,97;29,15;443999,58;537239,49;SI;SI;NO;0;0;
60;Habilitado;SI;SI;NO;NO;01 Vinilo de Impresion Oracal 3640/3641 80mic;3641 ORAJET IMPRESION MATTE BASE GRIS 152CM 50MTS;'364110152M;'';''364110152M;0,000;0,000;0,000;unidad;21%;Helioday;Pesos;343785,97;29,15;443999,58;537239,49;SI;SI;NO;0;0;
